Date,AAPL,MSFT,^GSPC
2010-01-04,20.30786895751953,24.615800857543945,1132.989990234375
2010-01-05,20.342979431152344,24.623754501342773,1136.52001953125
2010-01-06,20.019397735595703,24.472631454467773,1137.1400146484375
2010-01-07,19.982389450073242,24.218124389648438,1141.68994140625
2010-01-08,20.1152400970459,24.38514518737793,1144.97998046875
2010-01-11,19.937789916992188,24.074966430664062,1146.97998046875
2010-01-12,19.71099281311035,23.915895462036133,1136.219970703125
2010-01-13,19.989030838012695,24.138591766357422,1145.6800537109375
2010-01-14,19.873258590698242,24.623754501342773,1148.4599609375
2010-01-15,19.541139602661133,24.544212341308594,1136.030029296875
2010-01-19,20.40560531616211,24.735103607177734,1150.22998046875
2010-01-20,20.09151840209961,24.3294734954834,1138.0400390625
2010-01-21,19.74420928955078,23.868181228637695,1116.47998046875
2010-01-22,18.76491928100586,23.03307342529297,1091.760009765625
2010-01-25,19.26974868774414,23.31939697265625,1096.780029296875
2010-01-26,19.54208755493164,23.462553024291992,1092.1700439453125
2010-01-27,19.726181030273438,23.597768783569336,1097.5
2010-01-28,18.911056518554688,23.192134857177734,1084.530029296875
2010-01-29,18.224987030029297,22.412704467773438,1073.8699951171875
2010-02-01,18.478347778320312,22.59562873840332,1089.18994140625
2010-02-02,18.585580825805664,22.635404586791992,1103.3199462890625
2010-02-03,18.905357360839844,22.770605087280273,1097.280029296875
2010-02-04,18.22403907775879,22.142290115356445,1063.1099853515625
2010-02-05,18.547622680664062,22.28545379638672,1066.18994140625
2010-02-08,18.420461654663086,22.04684829711914,1056.739990234375
2010-02-09,18.616891860961914,22.277498245239258,1070.52001953125
2010-02-10,18.51535415649414,22.2615909576416,1068.1300048828125
2010-02-11,18.852224349975586,22.364988327026367,1078.469970703125
2010-02-12,19.014488220214844,22.213871002197266,1075.510009765625
2010-02-16,19.30106544494629,22.65335464477539,1094.8699951171875
2010-02-17,19.22040367126465,22.845130920410156,1099.510009765625
2010-02-18,19.2564640045166,23.14876937866211,1106.75
2010-02-19,19.13689613342285,22.98895263671875,1109.1700439453125
2010-02-22,19.018285751342773,22.95699119567871,1108.010009765625
2010-02-23,18.699447631835938,22.63736915588379,1094.5999755859375
2010-02-24,19.041057586669922,22.87708854675293,1105.239990234375
2010-02-25,19.168212890625,22.85311508178711,1102.93994140625
2010-02-26,19.41683006286621,22.9090518951416,1104.489990234375
2010-03-01,19.83150863647461,23.1887264251709,1115.7099609375
2010-03-02,19.8182315826416,22.741247177124023,1118.31005859375
2010-03-03,19.86376953125,22.741247177124023,1118.7900390625
2010-03-04,19.994728088378906,22.87708854675293,1122.969970703125
2010-03-05,20.776634216308594,22.845130920410156,1138.699951171875
2010-03-08,20.788972854614258,22.87708854675293,1138.5
2010-03-09,21.162851333618164,23.01292610168457,1140.449951171875
2010-03-10,21.33555030822754,23.14876937866211,1145.6099853515625
2010-03-11,21.398176193237305,23.316572189331055,1150.239990234375
2010-03-12,21.5025634765625,23.38848304748535,1149.989990234375
2010-03-15,21.240657806396484,23.404468536376953,1150.510009765625
2010-03-16,21.298542022705078,23.46839714050293,1159.4599609375
2010-03-17,21.267227172851562,23.676145553588867,1166.2099609375
2010-03-18,21.317520141601562,23.660165786743164,1165.8299560546875
2010-03-19,21.089778900146484,23.64418601989746,1159.9000244140625
2010-03-22,21.327011108398438,23.652177810668945,1165.81005859375
2010-03-23,21.669570922851562,23.875913619995117,1174.1700439453125
2010-03-24,21.765413284301758,23.692129135131836,1167.719970703125
2010-03-25,21.507301330566406,23.97979736328125,1165.72998046875
2010-03-26,21.91059684753418,23.700119018554688,1166.5899658203125
2010-03-29,22.05198860168457,23.64418601989746,1173.219970703125
2010-03-30,22.38031005859375,23.78801727294922,1173.27001953125
2010-03-31,22.299650192260742,23.404468536376953,1169.4300537109375
2010-04-01,22.391700744628906,23.300582885742188,1178.0999755859375
2010-04-05,22.63082504272461,23.38848304748535,1187.43994140625
2010-04-06,22.730466842651367,23.428442001342773,1189.43994140625
2010-04-07,22.83104705810547,23.45240592956543,1182.449951171875
2010-04-08,22.769371032714844,23.907878875732422,1186.43994140625
2010-04-09,22.943973541259766,24.24348258972168,1194.3699951171875
2010-04-12,22.99142074584961,24.227497100830078,1196.47998046875
2010-04-13,23.00470733642578,24.331375122070312,1197.300048828125
2010-04-14,23.31404685974121,24.62703514099121,1210.6500244140625
2010-04-15,23.62055206298828,24.666982650756836,1211.6700439453125
2010-04-16,23.476318359375,24.50717544555664,1192.1300048828125
2010-04-19,23.44499969482422,24.802820205688477,1197.52001953125
2010-04-20,23.209674835205078,25.058521270751953,1207.1700439453125
2010-04-21,24.597944259643555,25.034547805786133,1205.93994140625
2010-04-22,25.285907745361328,25.082494735717773,1208.6700439453125
2010-04-23,25.699642181396484,24.73890495300293,1217.280029296875
2010-04-26,25.573436737060547,24.858755111694336,1212.050048828125
2010-04-27,24.865537643432617,24.6510009765625,1183.7099609375
2010-04-28,24.823787689208984,24.698944091796875,1191.3599853515625
2010-04-29,25.4918270111084,24.77086067199707,1206.780029296875
2010-04-30,24.775390625,24.40329360961914,1186.68994140625
2010-05-03,25.274524688720703,24.658992767333984,1202.260009765625
2010-05-04,24.54669952392578,24.075681686401367,1173.5999755859375
2010-05-05,24.291439056396484,23.85194206237793,1165.8699951171875
2010-05-06,23.3671875,23.156761169433594,1128.1500244140625
2010-05-07,22.38126564025879,22.54148292541504,1110.8800048828125
2010-05-10,24.101655960083008,23.124797821044922,1159.72998046875
2010-05-11,24.341732025146484,23.07684898376465,1155.7900390625
